Full_name,Country,Born,Biography
Jane Austen,United Kingdom,1775-12-16,"Jane Austen was an English novelist known primarily for her six major novels which interpret, critique and comment upon the British landed gentry at the end of the 18th century. Her works of romantic fiction earned her a place as one of the most widely read writers in English literature."
Harper Lee,United States,1926-04-28,"Nelle Harper Lee was an American novelist best known for To Kill a Mockingbird, published in 1960. The novel won the Pulitzer Prize and has become a classic of modern American literature."
George Orwell,United Kingdom,1903-06-25,"Eric Arthur Blair, known by his pen name George Orwell, was an English novelist, essayist, journalist and critic. His work is characterised by lucid prose, social criticism, opposition to totalitarianism, and support of democratic socialism."
F. Scott Fitzgerald,United States,1896-09-24,"Francis Scott Key Fitzgerald was an American novelist, essayist, and short story writer. He is best known for his novels depicting the flamboyance and excess of the Jazz Age."
Aldous Huxley,United Kingdom,1894-07-26,"Aldous Leonard Huxley was an English writer and philosopher. He wrote nearly 50 books including novels, non-fiction works, short stories, poetry, and screenplays. He is best known for Brave New World."
J.D. Salinger,United States,1919-01-01,"Jerome David Salinger was an American writer widely noted for his novel The Catcher in the Rye. He published his final original work in 1965 and gave his last interview in 1980."
William Golding,United Kingdom,1911-09-19,"Sir William Gerald Golding was a British novelist, playwright, and poet. He was awarded the Nobel Prize for Literature in 1983. His best known work is Lord of the Flies."
J.R.R. Tolkien,United Kingdom,1892-01-03,"John Ronald Reuel Tolkien was an English writer and philologist. He is the author of the high fantasy works The Hobbit and The Lord of the Rings. He is often called the father of modern fantasy literature."
Frank Herbert,United States,1920-10-08,"Franklin Patrick Herbert Jr. was an American science fiction author best known for the novel Dune and its five sequels. Dune is frequently cited as the world's best-selling science fiction novel."
J.K. Rowling,United Kingdom,1965-07-31,"Joanne Rowling is a British author and philanthropist best known for the Harry Potter fantasy series, which has won multiple awards and sold more than 500 million copies worldwide."
Roald Dahl,United Kingdom,1916-09-13,"Roald Dahl was a British novelist, short story writer, poet, screenwriter, and wartime fighter ace. His works for children include James and the Giant Peach, Charlie and the Chocolate Factory, Matilda, and The BFG."
Antoine de Saint-Exupery,France,1900-06-29,"Antoine Marie Jean-Baptiste Roger de Saint-Exupery was a French writer, poet, aristocrat, journalist, and pioneering aviator. He is best remembered for his novella The Little Prince."
Paulo Coelho,Brazil,1947-08-24,"Paulo Coelho de Souza is a Brazilian lyricist and novelist, best known for his novel The Alchemist. In 2014 he uploaded his personal manuscripts online to the Internet Archive so that people could access them for free."
John Steinbeck,United States,1902-02-27,"John Ernst Steinbeck Jr. was an American writer. He won the 1962 Nobel Prize in Literature. Steinbeck is widely known for the comic novels Tortilla Flat and Cannery Row, the multi-generation epic East of Eden, and the novellas Of Mice and Men and The Red Pony."
Ernest Hemingway,United States,1899-07-21,"Ernest Miller Hemingway was an American novelist, short-story writer, and journalist. His economical and understated style had a strong influence on 20th-century fiction, while his adventurous lifestyle and public image brought him admiration from later generations."
Charles Dickens,United Kingdom,1812-02-07,"Charles John Huffam Dickens was an English writer and social critic. He created some of the world's best-known fictional characters and is regarded by many as the greatest novelist of the Victorian era."
Yuval Noah Harari,Israel,1976-02-24,"Yuval Noah Harari is an Israeli public intellectual, historian and a professor in the Department of History at the Hebrew University of Jerusalem. He is the author of the popular science bestsellers Sapiens, Homo Deus, and 21 Lessons for the 21st Century."
Stephen Hawking,United Kingdom,1942-01-08,"Stephen William Hawking was an English theoretical physicist, cosmologist, and author who held the position of Lucasian Professor of Mathematics at the University of Cambridge. His scientific works include a collaboration with Roger Penrose on gravitational singularity theorems in the framework of general relativity."
Daniel Kahneman,United States,1934-03-05,"Daniel Kahneman is an Israeli-American psychologist and economist notable for his work on the psychology of judgment and decision-making, as well as behavioral economics. He was awarded the 2002 Nobel Memorial Prize in Economic Sciences."
James Clear,United States,1986-01-22,"James Clear is an American author, entrepreneur, and photographer known for his writing about habits, decision making, and continuous improvement. His book Atomic Habits became a number-one New York Times bestseller."
Viktor Frankl,Austria,1905-03-26,"Viktor Emil Frankl was an Austrian psychiatrist and Holocaust survivor. Frankl was the founder of logotherapy, a school of psychotherapy which describes a search for a life's meaning as the central human motivational force."
Richard Dawkins,United Kingdom,1941-03-26,"Clinton Richard Dawkins is a British ethologist, evolutionary biologist and author. He is an emeritus fellow of New College, Oxford and was Professor for Public Understanding of Science in the University of Oxford from 1995 to 2008."
Carl Sagan,United States,1934-11-09,"Carl Edward Sagan was an American astronomer, planetary scientist, cosmologist, astrophysicist, astrobiologist, author, and science communicator. He is best known for his work as a science popularizer and communicator."
Siddhartha Mukherjee,India,1970-07-21,"Siddhartha Mukherjee is an Indian-American physician and writer. He is an assistant professor of medicine at Columbia University. His book The Emperor of All Maladies won the Pulitzer Prize for General Non-Fiction."
Arundhati Roy,India,1961-11-24,"Suzanna Arundhati Roy is an Indian author and political activist who is best known for her novel The God of Small Things, which won the Booker Prize in 1997 and was her debut novel."
Aravind Adiga,India,1974-10-23,"Aravind Adiga is an Indian author and journalist. His debut novel The White Tiger won the Man Booker Prize for Fiction in 2008."
A.P.J. Abdul Kalam,India,1931-10-15,"Avul Pakir Jainulabdeen Abdul Kalam was an Indian aerospace scientist and statesman who served as the 11th President of India from 2002 to 2007. He worked with ISRO and DRDO and was involved in India's civilian space programme and military missile development efforts."
R.K. Narayan,India,1906-10-10,"Rasipuram Krishnaswami Iyer Narayanswami, better known as R. K. Narayan, was an Indian writer known for his works set in the fictional South Indian city of Malgudi. He was a leading author of early Indian literature in English."
Salman Rushdie,United Kingdom,1947-06-19,"Sir Ahmed Salman Rushdie is a British Indian novelist and essayist. His second novel Midnight's Children won the Booker Prize in 1981 and was later named the Booker of Bookers. Much of his fiction is set on the Indian subcontinent."
Mahatma Gandhi,India,1869-10-02,"Mohandas Karamchand Gandhi was an Indian lawyer, anti-colonial nationalist and political ethicist who employed nonviolent resistance to lead the successful campaign for India's independence from British rule."
Jawaharlal Nehru,India,1889-11-14,"Jawaharlal Nehru was an Indian anti-colonial nationalist, secular humanist, social democrat and statesman who was a central figure in India and served as the first prime minister of India from 1947 until 1964."
Nelson Mandela,South Africa,1918-07-18,"Nelson Rolihlahla Mandela was a South African anti-apartheid activist and politician who served as the first president of South Africa from 1994 to 1999. He was the country's first black head of state and the first elected in a fully representative democratic election."
Walter Isaacson,United States,1952-05-20,"Walter Isaacson is an American author, journalist, and professor. He has been CEO of the Aspen Institute, a chairman of CNN, and editor of Time magazine. He is the author of biographies of Steve Jobs, Albert Einstein, Benjamin Franklin, and Leonardo da Vinci."
Trevor Noah,South Africa,1984-02-20,"Trevor Noah is a South African comedian, television host, producer, political commentator, actor, and author. He is known for hosting The Daily Show, an American satirical news program on Comedy Central."
Peter Thiel,United States,1967-10-11,"Peter Andreas Thiel is an American billionaire entrepreneur, venture capitalist, and political activist. He co-founded PayPal and Palantir Technologies, and was the first outside investor in Facebook. He co-authored Zero to One with Blake Masters."
Steven Levitt,United States,1967-05-29,"Steven David Levitt is an American economist known for his work in the field of crime, in particular the link between legalized abortion and crime rates. He is the co-author of the popular nonfiction book Freakonomics."
Eric Ries,United States,1978-09-22,"Eric Ries is an American entrepreneur, blogger, and author of The Lean Startup, a book on the lean startup movement. He is an advisor to a number of startups, large companies, and government organizations."
Robert C. Martin,United States,1952-12-05,"Robert Cecil Martin, colloquially known as Uncle Bob, is an American software engineer, instructor, and author. He is most known for developing many software design principles and for being a founder of the influential Agile Manifesto."
David Thomas,United States,1956-01-01,"David Thomas is a programmer and author best known for co-authoring The Pragmatic Programmer with Andrew Hunt. He is a long-time proponent of agile software development and is known for his work on the Ruby programming language."
Thomas Cormen,United States,1956-01-01,"Thomas H. Cormen is the co-author of Introduction to Algorithms, along with Charles Leiserson, Ron Rivest, and Clifford Stein. He is a professor of Computer Science at Dartmouth College and former chairman of the Dartmouth College Department of Computer Science."
Charles Duhigg,United States,1974-01-01,"Charles Duhigg is an American journalist and non-fiction author. He worked as a reporter for the New York Times and is the author of The Power of Habit and Smarter Faster Better."
Hector Garcia,Japan,1981-01-01,"Hector Garcia Puigcerver is a Spanish author based in Japan. He co-authored Ikigai with Francesc Miralles. He also runs the popular blog kirainet.com about Japanese technology and culture."
Robert Kiyosaki,United States,1947-04-08,"Robert Toru Kiyosaki is an American businessman, author, and motivational speaker. He is best known for the Rich Dad Poor Dad series of personal finance books."
Stephen Covey,United States,1932-10-24,"Stephen Richards Covey was an American educator, author, businessman, and keynote speaker. His most popular book is The 7 Habits of Highly Effective People."
Arthur Conan Doyle,United Kingdom,1859-05-22,"Sir Arthur Ignatius Conan Doyle was a British writer and physician. He created the fictional detective Sherlock Holmes in 1887 for A Study in Scarlet, the first of four novels and fifty-six short stories about Holmes and Dr. Watson."
Anne Frank,Netherlands,1929-06-12,"Annelies Marie Frank was a diarist and writer. Born in Frankfurt, Germany, she is one of the most discussed Jewish victims of the Holocaust. Her diary The Diary of a Young Girl has been the basis for several plays and films."
