Event_name,Event_date,Time,Duration_hours,Location,Description,Organiser,Max_attendees,Registered,Status,Category
Summer Reading Challenge Kickoff,2025-06-01,10:00,2,Main Hall,"Opening ceremony for the summer reading challenge. Children register and receive their reading logs and first book recommendation.",Priya Sharma,50,42,Completed,Children
Author Talk: Science and Society,2025-06-14,15:00,1.5,Conference Room A,"Dr. Meera Krishnan discusses how science shapes modern society. Q&A session follows the talk. All ages welcome.",Meera Krishnan,30,28,Completed,Talk
Book Club: Sapiens Discussion,2025-06-28,18:00,2,Reading Lounge,"Monthly book club meeting to discuss Sapiens by Yuval Noah Harari. Light refreshments provided. Bring your annotated copy.",Kavya Nair,20,18,Completed,Book Club
Children's Story Hour,2025-07-05,11:00,1,Children's Corner,"Weekly story hour for children aged 4-8. Stories read aloud by volunteer librarians. Parents encouraged to participate.",Neha Agarwal,25,22,Completed,Children
Introduction to Dataverse Workshop,2025-07-12,14:00,3,Computer Lab,"Hands-on workshop on Microsoft Dataverse for business users. Learn to create tables, relationships, and views. Laptops required.",Vikram Joshi,15,12,Completed,Workshop
Summer Reading Challenge Award Ceremony,2025-07-20,11:00,1.5,Main Hall,"Closing ceremony for the summer reading challenge. Certificates and prizes for top readers. Parents and family welcome.",Priya Sharma,60,55,Completed,Children
Teen Book Club: Dystopian Fiction,2025-07-26,16:00,2,Reading Lounge,"Teen-focused book club discussing 1984, Brave New World, and Divergent. Open to ages 13-18.",Arjun Mehta,20,14,Completed,Book Club
Digital Literacy for Seniors,2025-08-02,10:00,2.5,Computer Lab,"Introduction to smartphones, internet browsing, and online library resources for senior members. Patient and friendly instruction.",Sunita Patel,12,10,Completed,Workshop
Book Donation Drive,2025-08-10,09:00,6,Main Entrance,"Community book donation event. Gently used books accepted. Donated books catalogued and added to collection or given to schools.",Rahul Verma,100,87,Completed,Community
Power Platform for Business Users,2025-08-23,09:00,4,Conference Room A,"Full-day workshop covering Power Apps, Power Automate, and Power BI. Real-world business scenarios and hands-on exercises.",Mohammed Khan,20,19,Completed,Workshop
Back to School Reading Fair,2025-09-06,10:00,4,Main Hall,"Annual reading fair with book stalls, reading activities, and author meet-and-greet. Perfect for students and families.",Pooja Tiwari,150,132,Completed,Community
Author Talk: Fiction Writing Masterclass,2025-09-20,15:00,2,Conference Room A,"Bestselling author discusses character development, plot structure, and the publishing process. Writing exercises included.",Ananya Chatterjee,30,27,Completed,Talk
Book Club: The Alchemist Discussion,2025-10-04,18:00,2,Reading Lounge,"Monthly book club meeting to discuss The Alchemist by Paulo Coelho. Philosophical discussion on personal legend and destiny.",Divya Menon,20,16,Completed,Book Club
Halloween Story Night,2025-10-25,19:00,2,Main Hall,"Spooky story readings and Halloween-themed activities for the whole family. Costumes encouraged. Includes a short scary story competition.",Rohit Malhotra,40,38,Completed,Children
Digital Wellbeing and Reading Habits,2025-11-08,15:00,1.5,Conference Room B,"Discussion on balancing screen time with reading. Experts share tips on building consistent reading habits in a digital world.",Geeta Mishra,25,20,Completed,Talk
Annual Library Quiz,2025-11-22,14:00,3,Main Hall,"Annual general knowledge and literature quiz. Teams of 4. Registration required. Winner gets a book voucher worth Rs 2000.",Tarun Saxena,60,48,Completed,Community
Book Club: Biography Month,2025-12-06,18:00,2,Reading Lounge,"December book club focusing on biographies. Members share their favourite biography and why it inspired them.",Rekha Iyer,20,15,Completed,Book Club
New Year Reading Resolution Workshop,2025-12-27,11:00,2,Conference Room A,"Set your 2026 reading goals. Get personalised book recommendations based on your interests and reading pace.",Shreya Banerjee,20,18,Completed,Workshop
Beginner's Guide to Power BI,2026-01-17,10:00,3,Computer Lab,"Introduction to Power BI Desktop. Bring your own laptop. Learn to connect data, build visuals, and share reports.",Vikram Joshi,15,13,Completed,Workshop
Library Membership Drive,2026-02-01,10:00,6,Main Hall,"Special membership drive event. New members get 3 months free on any plan. Activities include book raffles and author signings.",Priya Sharma,200,167,Completed,Community
